,repo_name,compound,rank,stars,username,issues,days_since_lc,repos_by_user,day,month,year,forks,cluster_result
22801,-0.5665380906460945,0.0,-0.6530612244897959,0.5421629021218344,-0.7419795221843003,20.796511627906977,-0.0555555555555555,0.0,0.6666666666666666,1.0,-1.5,0.8930160142348754,0
25783,-0.3351012536162006,0.0,-0.5306122448979592,1.271731690622861,0.5870307167235495,3.892441860465116,-0.1666666666666666,2.0,-0.2,-0.5,0.0,3.295373665480427,0
93162,0.9218900675024108,2.001571338780641,0.7346938775510204,-0.5662559890485969,1.1310580204778158,3.494186046511628,-0.1666666666666666,0.0,-0.2,-0.1666666666666666,-1.0,-0.0513790035587188,0
2097,0.7193828351012537,0.0,-0.979591836734694,11.030047912388774,-0.3078498293515358,0.0726744186046511,-0.0555555555555555,3.5,-0.6,-0.1666666666666666,0.5,6.545818505338079,0
4906,0.2324011571841851,1.0,-0.9387755102040816,2.6295003422313483,0.8703071672354948,4.895348837209302,-0.1666666666666666,5.0,-0.0666666666666666,0.3333333333333333,-1.0,7.145462633451957,0
18285,-0.5212150433944069,0.4811439346323068,-0.7551020408163265,1.611567419575633,-0.6341296928327645,18.287790697674417,-0.1666666666666666,1.5,-0.8666666666666667,-0.6666666666666666,-0.5,3.320284697508897,0
96869,0.1947926711668273,0.0,0.7959183673469388,-0.1256673511293634,0.2771331058020478,4.171511627906977,-0.1666666666666666,0.5,-0.6,0.6666666666666666,0.5,0.7304270462633452,0
8215,0.4194792671166827,1.604651162790698,-1.0,10.693086926762492,0.5583617747440273,-0.377906976744186,-0.1666666666666666,0.0,0.0,-0.8333333333333334,0.5,3.763790035587189,0
8214,0.4194792671166827,1.604651162790698,-1.0,10.688021902806296,0.5583617747440273,-0.377906976744186,-0.1111111111111111,0.0,-0.0666666666666666,-0.8333333333333334,0.5,3.761343416370107,0
137391,-0.1210221793635487,2.073224387177876,-0.3265306122448979,0.7141683778234086,0.8976109215017065,1.75,-0.1111111111111111,2.0,-0.0666666666666666,-0.5,0.0,-0.2862544483985765,0
17995,-0.5212150433944069,0.4811439346323068,-0.7551020408163265,1.1882956878850102,-0.6341296928327645,16.171511627906977,-0.1666666666666666,1.5,0.1333333333333333,-0.6666666666666666,-1.0,2.482651245551601,0
123463,0.5429122468659595,1.1998742928975488,0.7959183673469388,0.7961670088980151,0.6354948805460751,8.671511627906977,-0.1666666666666666,0.0,-1.0,-0.6666666666666666,1.5,0.4152580071174377,0
9229,0.910318225650916,0.0,-0.8979591836734694,5.25605749486653,1.0928327645051197,11.546511627906977,-0.1111111111111111,0.0,0.2666666666666666,-0.1666666666666666,0.0,0.3843416370106761,0
43550,0.3346190935390549,1.1351351351351353,-0.5510204081632653,0.6367556468172485,0.4982935153583617,10.031976744186046,-0.1666666666666666,0.0,0.4666666666666667,0.8333333333333334,-0.5,1.8158362989323844,0
34036,-0.3404050144648023,0.0,-0.6326530612244898,1.008350444900753,-0.0668941979522184,2.706395348837209,-0.1666666666666666,0.5,0.4,-0.3333333333333333,-0.5,1.5273576512455516,0
